Question,Hint,
Como evalúa A111  para la alternativa?,El sub-atributo de compatibilidad ergonómica con la habilidad del usuario (A111) se refiere al atributo del diseño del equipo que permite su operación bajo distintos niveles de habilidad técnica del usuario (usuarios expertos e inexpertos).,
Como evalúa A112  para la alternativa?,El sub-atributo ergonómico de compatibilidad con el entrenamiento (A112) se refiere al entrenamiento (calidad y duración)que estará disponible considerando las necesidades del usuario.,
Como evalúa A121  para la alternativa?,"El sub-atributo ergonómico de Acceso a máquina y claridades (A121) es el atributo del diseño del equipo considerando que facilitar la movilidad y el acceso a brazos, manos, piernas, cabeza, tronco, rodillas del operario através de sus espacios y claridades.",
Como evalúa A122  para la alternativa ?,El sub-atributo ergonómico de Compatibilidad con Alcances Humanos Verticales y Horizontales (A122) es el atributo del diseño considerando que facilitar  al operario efectuar alcances (verticales y horizontales) cómodos y seguros.,
Como evalúa A123  para la alternativa?,El sub-atributo ergonómico de Ajustabilidad del equipo (A123) es el atributo del diseño del equipo considerando que permite el ajuste y/o cambio en el tamaño de su estructura o componentes satisfactorios para el usuario.,
Como evalúa A124  para la alternativa?,"El sub-atributo ergonómico de Confort postural (A124) es el atributo del diseño del equipo considerando que permite al operario adoptar posturas corporales neutras, diversas y seguras durante su operación.",
Como evalúa A125  para la alternativa?,El sub-atributo ergonómico de Requerimientos de trabajo físico y fuerza (A125) se refiere a la evaluación del nivel de trabajo físico  de aplicación de fuerza y resistencia que se requerir del usuario para la operación del equipo.,
Como evalúa A131  para la alternativa? ,"El sub-atributo ergonómico de Compatibilidad del diseño de controles y sensores (A131) se refiere atributo del diseño del equipo considerando el tipo y el diseo de controles y sensores que posee como (botones, manijas, palancas, interruptores, sensores de paro, de movimiento, etc.), que facilitan una operación efectiva y segura.",
Como evalúa A132  para la alternativa?,"El sub-atributo ergonómico de Compatiblidad de la Distribución Física de los Controles (A132) se refiere atributo del diseño del equipo considerando la ubicación física de los controles (botones, manijas, palancas, interruptores, etc.) que facilitan al usuario una manipulación",
Como evalúa A134  para la alternativa?,"El sub-atributo ergonómico de Compatibilidad con el Entendimiento y Carga de Información (A134) es el Atributo del diseño del equipo considerandoque facilitar su operación mediante el buen entendimiento, el aprendizaje de la información (visual, auditiva, sensorial) que el operario procesar.",
Como evalúa A135  para la alternativa?,"El sub-atributo ergonómico de Tolerancia al error de la interfase (A135) es al atributo del diseño del equipo considerando que facilitar al operario el manejo y prevención del error, mediante acciones simples y mensajes claros en los diálogos de la interfase.",
Como evalúa A136  para la alternativa?,"El sub-atributo ergonómico de Funciones Asignadas Máquina-Hombre (A136) es el Atributo del diseño del equipo considerando que tareas difíciles para el operario como: dar respuesta rápida, almacenar temporalmente información, de alta precisión y repetitividad podrán ser asignadas",
Como evalúa A137  para la alternativa?,"El sub-atributo ergonómico de Diseño para Mantenibilidad (A137) es el Atributo del diseño del equipo considerando que permitir un fácil, rápido y seguro mantenimiento en tareas de instalación y desmantelamiento, ensamble, trasporte, carga, montaje y desmontaje.",
Como evalúa A141  para la alternativa?,El sub-atributo ergonómico Temperatur (A141) se refiere a la evaluación del calor que será emitido por el equipo y sus componentes que puede afectar negativamente al operario.,
Como evalúa A142  para la alternativa?,El sub-atributo ergonómico Vibración (A142) se refiere a la evaluación de la vibración emitida por el equipo que puede afectar negativamente al operario.,
Como evalúa A143  para la alternativa?,El sub-atributo ergonómico Ruido (A143) se refiere a la evaluación del ruido que será emitido por el equipo y sus componentes que puede afectar negativamente al operario.,
Como evalúa A144  para la alternativa?,El sub-atributo ergonómico Materiales de Residuo (A144) se refiere a la evaluación de la cantidad  de residuos generados por el equipo y sus componentes que pueden afectar negativamente al operario.,
Como evalúa A151  para la alternativa?,El sub-atributo de Ritmo de Trabajo (A151) se refiere al Atributo del diseño del equipo considerando  que evita o previene  ritmo y  velocidad  de trabajo inadecuados para el operario.,
Como evalúa A152  para la alternativa,"El sub-atributo ergonómico Contenido del Trabajo (A152) es el atributo del diseño del equipo considerando que previene aplicar fuerza, mantener posturas incómodas, efectuar  tareas repetitivas y de alto riesgo como manejo manual de cargas en tareas adicionales a la operación de la máquina (contenido total del trabajo.",
